iter	Passed	Remaining
0	1	176
1	2	136
2	3	123
3	5	120
4	6	123
5	7	119
6	8	115
7	9	109
8	10	105
9	11	104
10	13	105
11	14	105
12	15	101
13	16	98
14	18	103
15	19	102
16	20	99
17	21	97
18	22	95
19	23	93
20	24	93
21	25	91
22	27	90
23	27	88
24	28	86
25	30	85
26	31	84
27	32	82
28	33	81
29	34	79
30	34	77
31	36	77
32	37	75
33	38	74
34	39	72
35	40	71
36	41	69
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	54	52
51	56	51
52	57	51
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	41
61	66	40
62	67	39
63	68	38
64	70	37
65	70	36
66	71	35
67	72	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	78	27
74	80	26
75	81	25
76	82	24
77	82	23
78	83	22
79	84	21
80	86	20
81	87	19
82	87	18
83	88	16
84	89	15
85	90	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
