iter	Passed	Remaining
0	143	143621
1	144	72171
2	145	48341
3	146	36417
4	146	29250
5	147	24489
6	148	21105
7	149	18552
8	150	16559
9	151	14970
10	152	13672
11	152	12582
12	153	11665
13	154	10869
14	155	10185
15	155	9587
16	156	9057
17	157	8584
18	158	8162
19	158	7785
20	159	7449
21	160	7137
22	161	6857
23	162	6597
24	163	6358
25	163	6135
26	164	5928
27	165	5749
28	166	5575
29	167	5416
30	168	5258
31	168	5110
32	169	4973
33	170	4846
34	171	4726
35	172	4610
36	172	4501
37	173	4398
38	174	4301
39	175	4208
40	176	4119
41	177	4051
42	178	3974
43	179	3897
44	180	3827
45	181	3756
46	181	3688
47	182	3622
48	183	3560
49	184	3500
50	185	3442
51	185	3388
52	186	3336
53	187	3286
54	188	3238
55	189	3193
56	190	3146
57	190	3102
58	191	3059
59	192	3022
60	193	2982
61	194	2948
62	195	2912
63	196	2876
64	197	2840
65	198	2807
66	199	2773
67	200	2743
68	201	2713
69	201	2682
70	202	2652
71	203	2623
72	204	2595
73	205	2567
74	205	2540
75	207	2517
76	207	2491
77	208	2465
78	209	2440
79	210	2417
80	210	2393
81	211	2371
82	212	2345
83	213	2325
84	214	2306
85	215	2286
86	216	2268
87	217	2249
88	218	2234
89	219	2216
90	219	2197
91	220	2178
92	221	2161
93	222	2144
94	223	2127
95	224	2110
96	224	2093
97	225	2077
98	226	2060
99	227	2044
100	228	2031
101	229	2016
102	229	2001
103	230	1986
104	231	1971
105	232	1959
106	233	1945
107	233	1931
108	234	1919
109	235	1906
110	236	1892
111	237	1880
112	237	1868
113	238	1855
114	239	1843
115	240	1831
116	241	1818
117	241	1807
118	242	1795
119	243	1783
120	243	1772
121	244	1760
122	245	1749
123	246	1739
124	247	1729
125	247	1720
126	248	1708
127	249	1698
128	250	1689
129	250	1678
130	251	1668
131	252	1659
132	253	1651
133	254	1642
134	254	1633
135	255	1624
136	256	1615
137	257	1605
138	257	1597
139	258	1588
140	259	1580
141	259	1570
142	260	1562
143	261	1554
144	262	1546
145	263	1538
146	263	1530
147	264	1522
148	265	1515
149	266	1508
150	266	1500
151	267	1493
152	268	1486
153	269	1478
154	269	1471
155	270	1464
156	271	1458
157	272	1452
158	273	1445
159	273	1438
160	274	1430
161	275	1423
162	275	1416
163	276	1409
164	277	1403
165	278	1397
166	279	1392
167	279	1386
168	280	1380
169	281	1374
170	282	1368
171	283	1362
172	283	1357
173	284	1351
174	285	1345
175	286	1340
176	286	1334
177	287	1329
178	288	1323
179	289	1318
180	290	1313
181	291	1308
182	291	1302
183	292	1297
184	293	1292
185	294	1287
186	294	1282
187	295	1278
188	296	1273
189	297	1268
190	298	1264
191	299	1259
192	300	1254
193	301	1250
194	302	1247
195	302	1242
196	303	1238
197	304	1233
198	305	1228
199	305	1223
200	306	1219
201	307	1215
202	308	1210
203	309	1206
204	309	1202
205	310	1197
206	311	1192
207	312	1188
208	312	1183
209	313	1179
210	314	1175
211	315	1171
212	316	1168
213	316	1164
214	317	1160
215	318	1155
216	319	1151
217	319	1147
218	320	1143
219	321	1140
220	322	1136
221	323	1132
222	323	1128
223	324	1124
224	325	1120
225	326	1117
226	327	1114
227	328	1110
228	328	1107
229	329	1103
230	330	1100
